,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,ENT
130,1,3,1,1,1,1,1,2,1,1,1
131,2,3,1,1,1,1,1,4,1,1,1
132,3,3,1,1,1,1,1,2,1,1,1
133,4,3,1,1,1,1,1,2,1,1,1
134,5,3,1,1,1,1,1,5,1,1,1
135,1,3,1,1,1,1,1,6,1,1,1
136,2,3,1,1,1,1,1,4,1,1,1
137,3,3,1,1,1,1,1,3,1,1,1
138,4,3,1,1,1,1,1,3,1,1,1
139,5,3,1,1,1,1,1,1,1,1,1
140,1,3,1,1,1,1,1,1,1,1,1
141,2,3,1,1,1,1,2,10,1,1,1
142,3,3,1,1,1,1,1,2,1,1,1
143,1,3,1,1,1,1,2,5,1,1,1
144,2,3,1,1,1,1,1,4,1,1,1
145,3,3,1,1,1,1,1,4,1,1,1
146,4,3,1,1,1,1,1,4,1,1,1
147,5,3,1,1,1,1,1,2,1,1,1
148,1,3,1,1,1,1,1,2,1,1,1
149,3,3,1,1,1,1,1,3,1,1,1
150,1,3,1,1,1,1,1,2,1,1,1
151,2,3,1,1,1,1,1,3,1,1,1
152,3,3,1,1,1,1,1,5,1,1,1
153,4,3,1,1,1,1,1,3,1,1,1
154,5,3,1,1,1,1,1,2,1,1,1
155,1,3,1,1,1,1,1,5,1,1,1
156,2,2,1,1,1,1,1,1,1,1,1
157,3,2,1,1,1,1,1,1,1,1,1
158,4,3,1,1,1,1,2,3,1,1,1
159,2,3,1,1,1,1,1,6,1,1,1
160,3,3,1,1,1,1,1,3,1,1,1
161,5,3,1,1,1,1,1,4,1,1,1
162,1,3,1,1,1,1,1,4,1,1,1
163,3,3,1,1,1,1,1,3,1,1,1
164,4,3,1,1,1,1,1,3,1,1,1
165,5,3,1,1,1,1,1,4,1,1,1
166,1,2,1,1,1,1,1,4,1,1,1
167,2,2,1,1,1,1,1,4,1,1,1
168,3,3,1,1,1,1,1,3,1,1,1
169,5,3,1,1,1,1,1,4,1,1,1
170,1,3,1,1,1,1,1,6,1,1,1
171,2,3,1,1,1,1,1,5,1,1,1
172,3,3,1,1,1,1,1,4,1,1,1
173,4,2,1,1,1,2,2,1,1,1,1
174,5,3,1,1,1,2,2,2,1,1,1
175,1,3,1,1,1,1,1,3,1,1,1
176,2,3,1,1,1,1,1,2,1,1,1
177,3,3,1,1,1,1,1,2,1,1,1
178,4,3,1,1,1,1,1,4,1,1,1
179,5,3,1,1,1,1,1,3,1,1,1
180,1,3,1,1,1,1,1,4,1,1,1
181,2,3,1,1,1,1,1,2,1,1,1
182,3,3,1,1,1,1,1,4,1,1,1
183,4,3,1,1,1,1,1,4,1,1,1
184,1,3,1,1,1,1,1,3,1,1,1
185,2,3,1,1,1,1,1,4,1,1,1
186,3,2,1,1,1,1,1,3,1,1,1
187,4,3,1,1,1,1,1,2,1,1,1
188,5,3,1,1,1,1,1,2,1,1,1
189,1,2,1,1,1,1,1,3,1,1,1
190,2,3,1,1,1,1,1,3,1,1,1
191,3,3,1,1,1,1,1,2,1,1,1
192,5,3,1,1,1,1,1,4,1,1,1
193,1,3,1,1,1,1,1,5,1,1,1
194,2,3,1,1,1,1,1,4,1,1,1
195,3,3,1,1,1,1,1,3,1,1,1
196,4,3,1,1,1,1,1,3,1,1,1
197,5,3,1,1,1,1,1,4,1,1,1
198,1,3,1,1,1,2,2,2,1,1,1
199,2,3,1,1,1,1,1,3,1,1,1
200,3,2,1,1,1,1,1,4,1,1,1
201,4,3,1,1,1,1,1,5,1,1,1
202,5,3,1,1,1,1,1,1,1,1,1
203,1,3,1,1,1,1,1,4,1,1,1
204,2,3,1,1,1,1,1,2,1,1,1
205,3,2,1,1,1,1,1,5,1,1,1
206,4,2,1,1,1,2,2,3,1,1,1
207,5,2,1,1,1,1,1,6,1,1,1
208,1,3,1,1,1,1,1,5,1,1,1
209,2,3,1,1,1,1,1,5,1,1,1
210,3,3,1,1,1,1,1,3,1,1,1
211,4,3,1,1,1,1,1,4,1,1,1
212,5,3,1,1,1,1,1,3,1,1,1
213,2,3,1,1,1,1,1,5,1,1,1
214,3,3,1,1,1,1,1,2,1,1,1
215,4,3,1,1,1,1,1,4,1,1,1
216,5,3,1,1,1,1,1,5,1,1,1
217,1,3,1,1,1,1,1,4,1,1,1
218,2,3,1,1,1,1,1,2,1,1,1
219,4,3,1,1,1,1,1,5,1,1,1
220,5,3,1,1,1,1,1,2,1,1,1
221,1,2,1,1,1,1,1,5,1,1,1
222,2,3,1,1,1,1,1,3,1,1,1
223,3,2,1,1,1,1,1,6,1,1,1
224,4,2,1,1,1,1,1,8,1,1,1
225,1,2,1,1,1,1,1,4,1,1,1
226,3,3,1,1,1,1,1,2,1,1,1
227,4,2,1,1,1,1,1,5,1,1,1
228,5,3,1,1,1,1,1,3,1,1,1
229,1,3,1,1,1,1,1,2,1,1,1
230,2,3,1,1,1,1,1,7,1,1,1
231,3,3,1,1,1,1,1,3,1,1,1
232,4,2,1,1,1,1,1,4,1,1,1
233,5,2,1,1,1,1,1,2,1,1,1
234,1,3,1,1,1,1,1,2,1,1,1
235,2,3,1,1,1,1,1,4,1,1,1
236,3,3,1,1,1,1,1,6,1,1,1
237,4,3,1,1,1,1,1,2,1,1,1
238,5,3,1,1,1,1,1,2,1,1,1
239,1,3,1,1,1,1,1,4,1,1,1
240,2,3,1,1,1,1,1,4,1,1,1
241,3,3,1,1,1,1,1,5,1,1,1
242,4,3,1,1,1,1,1,5,1,1,1
243,1,3,1,1,1,1,1,4,1,1,1
244,2,3,1,1,1,1,1,2,1,1,1
245,3,3,1,1,1,1,1,2,1,1,1
246,4,3,1,1,1,1,1,5,1,1,1
247,5,3,1,1,1,1,1,6,1,1,1
248,1,3,1,1,1,1,1,4,1,1,1
249,2,3,1,1,1,1,1,4,1,1,1
250,3,3,1,1,1,1,1,2,1,1,1
251,4,3,1,1,1,1,1,1,1,1,1
